period,book_year,book_id,vol_num,chap_num,recp_num,para_num,sent_num,token_num,nrc_anger,nrc_disgust,nrc_anticipation,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,overall_NRC_valence,VADER_pos,VADER_neg,VADER_neu,VADER_compound
late1800s,1885.0,24542,0.0,0.0,1.6644736842105263,1.5416666666666667,2.0065789473684212,15.554824561403509,0.017543859649122806,0.017543859649122806,0.039473684210526314,0.010964912280701754,0.02850877192982456,0.05263157894736842,0.05043859649122807,0.017543859649122806,0.008771929824561403,0.05043859649122807,-0.0021929824561403508,0.07479591836734693,0.07424489795918367,0.8509795918367349,0.08634897959183672
late1800s,1884.0,25007,0.0,0.0,0.0,49.20718375845914,1.648880791254555,22.917751171264968,0.02394586153045289,0.022123893805309734,0.01691827173347215,0.014315460697553357,0.01978136387298282,0.05309734513274336,0.02706923477355544,0.019521082769390942,0.007287870900572618,0.03331598125976054,-0.026028110359187923,0.0518458904109589,0.02684589041095891,0.9213047945205484,0.10196061643835616
late1800s,1892.0,29519,0.0,4.656985631305411,80.8709110363803,3.277132375420361,2.232421277896668,19.361510241516356,0.019107306634056864,0.017884439009477223,0.022928767960868235,0.009706511770100887,0.027514521553041883,0.04295322531335983,0.03668602873738918,0.017808009782940996,0.012992968511158666,0.03125955365331703,-0.006267196575970649,0.07559895379250221,0.027048823016564964,0.8973443766346996,0.16023661726242347
late1800s,1887.0,34107,0.0,0.0,28.28972972972973,2.1848648648648648,3.6492972972972972,14.31481081081081,0.016,0.015135135135135135,0.02745945945945946,0.006054054054054054,0.03027027027027027,0.02702702702702703,0.03697297297297297,0.008216216216216217,0.016432432432432434,0.02854054054054054,0.009945945945945944,0.03915974729241878,0.0765568592057762,0.8842833935018053,0.02968185920577624
late1800s,1891.0,38464,0.0,0.0,19.473072861668427,2.0475184794086587,1.543470608940514,19.61316437873988,0.021823301654347062,0.009503695881731784,0.022175290390707498,0.007391763463569166,0.019359380499824004,0.03871876099964801,0.030623020063357972,0.011263639563533967,0.008799718409010912,0.03484688489968321,-0.008095740936290036,0.056709677419354836,0.038664516129032246,0.9046354838709679,0.09772677419354839
late1800s,1888.0,53521,0.0,9.48589125946318,69.59119064005506,0.34985088323009866,1.6596696490020646,18.731016288139482,0.030970406056434963,0.015944023858683185,0.023973388391832988,0.02282633631566873,0.023514567561367286,0.05999082358339069,0.034182151869694886,0.02718513420509291,0.014223445744436798,0.034870383115393436,-0.025808671713695802,0.066281729428173,0.029729428172942822,0.9039860529986051,0.1055767085076706
late1800s,1893.0,54568,1.7568903250332637,21.391886387704673,201.69674423656556,4.870122464496157,1.7781790534118989,16.487712819398812,0.012816683411627339,0.01792163358405518,0.028104379938631983,0.016916935943736933,0.030303853151220573,0.037173812691775054,0.047600944958861705,0.021614576261981697,0.015151926575610286,0.03606049909034133,0.01042713226708665,0.05961430603535866,0.029325340377971947,0.911061572851045,0.08567150985572061
late1800s,1877.0,61185,0.0,10.62738797273915,0.0,16.38560683639959,2.9933260355238533,22.434231434725803,0.01680850312511035,0.019880645503019174,0.02863801687912709,0.018962533987782054,0.03464105370952364,0.04188000988735478,0.049860517673646666,0.022634980048730536,0.01627882340478124,0.04325717716021046,0.007980507786291884,0.08775357637286552,0.041701892016612764,0.870548223350254,0.17141158283341038
mid1800s,1860.0,12519,0.0,9.145210466439135,200.6774061433447,1.0689419795221844,0.6848691695108078,44.534243458475544,0.01888509670079636,0.01838452787258248,0.024027303754266212,0.009419795221843004,0.029943117178612057,0.04810011376564278,0.036541524459613194,0.015108077360637087,0.015608646188850966,0.03558589306029579,-0.011558589306029585,0.06781288343558278,0.019824386503067483,0.9123642638036816,0.20832108895705537
mid1800s,1830.0,28681,2.8085075138283813,22.992143521464584,17.41460668657301,92.70567575505409,0.7535366390914876,35.31384306622938,0.01760977042439669,0.01921288364579764,0.028635762886093298,0.01251896813353566,0.035109403299231484,0.04109354349209457,0.04959860981937442,0.018552058348426256,0.01669195751138088,0.04352880708796319,0.008505066327279848,0.057251994198694776,0.10222842639593951,0.8405221174764355,0.07647347111433353
